id,edicao,numero,enunciado,alternativas,area_conhecimento,area,subarea,gabarito,atributo_rag,ehQuestaoProblema,comp_decomposicao,comp_reconhecimento_padroes,comp_abstracao,comp_algoritmos,comp_generalizacao
2003-28,2003,28,"Considere o seguinte trecho de programa:
```
1. i:= 1;
2. while i <=n do
   begin
3. sum:= sum + a[i];
4. i:=i+ 1;
   end;
```

Considere que: 
 - $I$ representa a inicialização da variável `i:= 1` na linha 1; 
 - $T$ representa o teste da linha 2; 
 - $A$ representa os comandos da linha 3; 
 - $P$ representa o incremento na linha 4.

Qual é a expressão regular que representa todas as sequências de passos possíveis de serem executados por este trecho de programa?","['a) $I(TAP)^+$', 'b) $I(TAP)^*$', 'c) $IT^+A^*P^*$', 'd) $IT(APT)^*$', 'e) $IT(APT)^+$']",Fundamentos da Computação,"Linguagens Formais, Autômatos e Computabilidade","Linguagens Regulares, Livres-de-Contexto e Sensíveis-ao-Contexto",D,"fundamentos da computacao - linguagens formais, automatos e computabilidade - linguagens regulares, livres-de-contexto e sensiveis-ao-contexto",True,False,True,True,True,True
2003-34,2003,34,"A função abaixo, escrita na linguagem C, quando executada para $n = 5$, faz quantas chamadas recursivas (excluindo a primeira chamada da função)?
```
int fat (int n)
{
    if (n == 1) return n;
    else return (n*fat(n-1));
}
```","['a) 6', 'b) 5', 'c) 4', 'd) 1', 'e) 0']",Fundamentos da Computação,Algoritmos e Estrutura de Dados,Recursividade: Conceito e Implementação,C,fundamentos da computacao - algoritmos e estrutura de dados - recursividade: conceito e implementacao,True,True,False,False,True,False
2003-35,2003,35,"Qual é a opção que descreve a tarefa executada pelo seguinte algoritmo escrito em Pascal?
```
procedure fazalgo (var x, var y)
begin
  x := x + y;
  y := x - y;
  x := x - y;
end
```","['a) divide `x` por `y` utilizando a subtração e retorna o resultado em `x`', 'b) divide `y` por `x` utilizando a subtração e retorna o resultado em `x`', 'c) troca os valores de `x` e `y`', 'd) calcula o mínimo múltiplo comum entre `x` e `y` e retorna o valor em `x`', 'e) não altera os valores de `x` e `y`']",Fundamentos da Computação,Algoritmos e Estrutura de Dados,Modularidade e Abstração,C,fundamentos da computacao - algoritmos e estrutura de dados - modularidade e abstracao,True,False,False,False,True,False
2003-36,2003,36,"Para que faixa de valores da variável $x$ o seguinte segmento de código imprime a letra `C`?
```
if (x <= 200)
    if (x < 100)
        if (x < 0) printf(""A"")
        else printf(""B"")
    else printf(""C"")
else printf(""D"")
```","['a) $0 < x < 100$', 'b) $x <= 100$', 'c) $100 <= x <= 200$', 'd) $x > 200$', 'e) $100 < x <= 200$']",Fundamentos da Computação,Técnicas de Programação,Comandos de uma Linguagem de programação,C,fundamentos da computacao - tecnicas de programacao - comandos de uma linguagem de programacao,True,True,False,False,True,False
2003-41,2003,41," Considere as seguintes tabelas em uma base de dados relacional:
```
Departamento (CodDepto, NomeDepto)
Empregado (CodEmp, NomeEmp, CodDepto)
```
Deseja-se obter uma tabela na qual cada linha é a concatenação de uma linha da tabela Departamento com uma linha da tabela de Empregado. Caso um departamento não possua empregados, seu linha no resultado deve conter vazio (NULL) nos campos referentes ao empregado. A operação de álgebra relacional que deve ser aplicada para combinar estas duas tabelas é:","['a) Divisão', 'b) Junção interna', 'c) Junção externa', 'd) União', 'e) Projeção']",Tecnologia de Computação,Banco de Dados,Linguagens de Consulta,C,tecnologia de computacao - banco de dados - linguagens de consulta,True,False,True,True,False,False
2003-43,2003,43,"Considere a seguinte tabela em uma base de dados relacional (chave primária sublinhada):

<code>Tabela1(<u>CodAluno,CodDisciplina,AnoSemestre,</u> NomeAluno, NomeDisciplina,
CodNota, DescricaoNota)</code>

Considere as seguintes dependências funcionais:
- `CodAluno` → `NomeAluno`
- `CodDisciplina` → `NomeDisciplina`
- (`CodAluno`,`CodDisciplina`,`AnoSemestre`) → `CodNota`
- (`CodAluno`,`CodDisciplina`,`AnoSemestre`) → `DescricaoNota`
- `CodNota` → `DescricaoNota`

Considerando as formas normais, qual das afirmativas abaixo se aplica:","['a) A tabela encontra-se na primeira forma normal, mas não na segunda forma normal.', 'b) A tabela encontra-se na segunda forma normal, mas não na terceira forma normal.', 'c) A tabela encontra-se na terceira forma normal, mas não na quarta forma normal.', 'd) A tabela não está na primeira forma normal.', 'e) A tabela está na quarta forma normal.']",Tecnologia de Computação,Banco de Dados,Modelagem e Projeto de Banco de Dados,A,tecnologia de computacao - banco de dados - modelagem e projeto de banco de dados,True,True,False,True,False,False
2003-44,2003,44,"Considere as seguintes tabelas em uma base de dados relacional:
```
Departamento (CodDepto, NomeDepto)
Empregado (CodEmp, NomeEmp, CodDepto,Salario)
```
Considere a seguinte consulta escrita em SQL:
```
SELECT D.CodDepto,NomeDepto,SUM(E.Salario)
FROM Departamento D, Empregado E
WHERE D.CodDepto=E.CodDepto
GROUP BY D.CodDepto,NomeDepto
HAVING COUNT(*)>2 AND AVG(E.Salario)>40
```
A consulta acima obtém o seguinte resultado:","['a) Para cada empregado que tem mais que dois departamentos, ambos com média salarial maior que\n40, obter o código de departamento, seguido do nome do departamento, seguido da soma dos salários dos empregados do departamento.', 'b) Para cada departamento que tem mais que dois empregados e cuja média salarial é maior que 40,\nobter o código de departamento, seguido do nome do departamento, seguido da soma dos salários dos empregados do departamento.', 'c) Para cada departamento que tem mais que dois empregados e cuja média salarial, considerando todos empregados do departamento, exceto os dois primeiros, é maior que 40, obter o código de departamento, seguido do nome do departamento, seguido da soma dos salários dos empregados do departamento.', 'd) A consulta não retorna nada pois está incorreta.', 'e) Para cada departamento que tem mais que dois empregados e cuja média salarial é maior que 40\nobter um grupo de linhas que contém, para cada empregado do departamento, o código de seu departamento, seguido do nome de seu departamento, seguido da soma dos salários dos empregados do seu departamento.']",Tecnologia de Computação,Banco de Dados,Linguagens de Consulta,B,tecnologia de computacao - banco de dados - linguagens de consulta,True,True,False,True,False,False
2003-48,2003,48,"Seja a seguinte linguagem, onde $\epsilon$ representa o string vazio e $$$ representa um marcador de fim de entrada:
$$
\begin{align*}
& S \to ABCD \\
& A \to a \mid \epsilon \\
& B \to a \mid \epsilon \\
& C \to c \mid \epsilon \\
& D \to S \mid c \mid \epsilon
\end{align*}
$$
É incorreto afirmar que:","['a) O conjunto FIRST(A) = $a, \\epsilon$', 'b) O conjunto FIRST(D) é igual ao conjunto FIRST(S)', 'c) O conjunto FOLLOW(A) = $$ a, c, \\$ $$', 'd) O conjunto FOLLOW(B) = $$ c, \\$ $$', 'e) O conjunto FOLLOW(D) é igual a FOLLOW(S)']",Tecnologia de Computação,Compiladores,Análise Léxica e Sintática,D,tecnologia de computacao - compiladores - analise lexica e sintatica,True,True,True,True,False,False
2004-22,2004,22,"Quanto vale $k$ no fim da execução do seguinte trecho de código?
```
k = 0;
for (i=1; i <= n; i++)
    for(j = i; j <= n; j++)
        k = k + 1;
```","['a) $n - 1$', 'b) $n$', 'c) $(n^2 - n)/2$', 'd) $n(n + 1)/2$', 'e) $n^3$']",Fundamentos da Computação,Análise de Algoritmos,Análise de Algoritmos Iterativos e Recursivos,D,fundamentos da computacao - analise de algoritmos - analise de algoritmos iterativos e recursivos,True,True,False,False,True,False
2004-23,2004,23,"O programa abaixo, quando executado para $A(1, 2)$, faz quantas chamadas recursivas (excluindo a primeira chamada da função)?
```
int A (int m, int n) {
    if (m == 0) return n + 1;
    else if (n == 0) return A (m - 1, 1);
    else return A (m - 1, A (m, n - 1));
    }
```","['a) 6', 'b) 5', 'c) 4', 'd) 3', 'e) 2']",Fundamentos da Computação,Algoritmos e Estrutura de Dados,Recursividade: Conceito e Implementação,B,fundamentos da computacao - algoritmos e estrutura de dados - recursividade: conceito e implementacao,True,True,False,False,True,False
2004-27,2004,27,"Considere o seguinte programa com dois processos concorrentes. O escalonador poderá alternar entre um e outro, isto é, eles poderão ser intercalados durante sua execução. As variáveis $x$ e $y$ são compartilhadas pelos dois processos e inicializadas antes de sua execução.
```
programa P
int x = 0;
int y = 0;
processo A {
    while (x == 0);
    print(‘‘a’’);
    y = 1;
    y = 0;
    print(‘‘d’’);
    y = 1;
}

processo B {
    print(‘‘b’’);
    x = 1;
    while (y == 0);
    print(""c"");
}
```","['a) `adbc` ou `bcad`', 'b) `badc` ou `bacd`', 'c) `abdc` ou `abcd`', 'd) `dbca` ou `dcab`', 'e) Nenhuma das opções anteriores.']",Fundamentos da Computação,Sistemas Operacionais,"Comunicação, Concorrência e Sincronização de Processos",B,"fundamentos da computacao - sistemas operacionais - comunicacao, concorrencia e sincronizacao de processos",True,True,False,False,True,False
2004-41,2004,41,"Considere as seguintes tabelas em uma base de dados relacional, contendo informações sobre empregados, departamentos e a vinculação entre eles:
```
Departamento (CodDepto, NomeDepto)
Empregado (CodEmp, NomeEmp, CodDepto)
```
Deseja-se obter os nomes dos departamentos (`NomeDepto`) que não estão vinculados a nenhum Empregado. Para obter este resultado a consulta correta em SQL/2 é a seguinte:","['a) \n```\nSELECT NomeDepto\nFROM Departamento D, Empregado E\nWHERE D.CodDepto=E.CodDepto AND\n      E.CodEmp IS NULL\n```', 'b) \n```\nSELECT NomeDepto\nFROM Departamento D\nWHERE EXISTS\n    (SELECT *\n     FROM Empregado E\n     WHERE CodDepto=D.CodDepto)\n```', 'c) \n```\n(SELECT NomeDepto\n  FROM Departamento D)\nEXCEPT\n(SELECT NomeDepto\n FROM Departamento D, Empregado E\n WHERE D.CodDepto=E.CodDepto)\n```', 'd) \n```\nSELECT NomeDepto\nFROM Departamento D, Empregado E\nWHERE D.CodDepto<>E.CodDepto\n```', 'e) \n```\nSELECT NomeDepto\nFROM Departamento D\nWHERE CodDepto IN\n   (SELECT CodDepto\n    FROM Empregado E)\n```']",Tecnologia de Computação,Banco de Dados,Linguagens de Consulta,C,tecnologia de computacao - banco de dados - linguagens de consulta,True,False,False,True,False,False
2004-42,2004,42,"Considere um modelo entidade-relacionamento de uma indústria. Este modelo representa peças com suas propriedades, bem como a composição de peças (peças podem ser usadas na composição de outras peças). Este modelo entidade-relacionamento contém:
- Uma entidade *Peça*, com atributos código e nome e peso.
- Um auto-relacionamento de Peça, chamado *Composição*. Neste auto-relacionamento uma peça tem papel de componente e outra peça papel de *composto*. O auto-relacionamento tem cardinalidade n:n e tem um atributo *quantidade*, que informa quantas unidades da peça componente são usadas na peça composto. \
Uma base de dados relacional que implementa corretamente este modelo entidade-relacionamento e está na terceira forma normal é (chaves primárias estão sublinhadas):","['a) <code>Peca (<u>CodPeca</u>, NomePeca, PesoPeca)\nComposicao(<u>CodPecaComposto</u>, <u>CodPecaComponente</u>, Quantidade) \n Composição\n.CodPecaComposto referencia Peca\nComposição.CodPecaComponente referencia Peca\n```', 'b) <code>Peca (<u>CodPeca</u>, NomePeca, PesoPeca, CodPecaComposto,\nQuantidade)\nPeca.CodPecaComposto referencia Peca', 'c) <code>Peca (<u>CodPeca</u>, NomePeca, PesoPeca)\nComposicao(CodPecaComposto,CodPecaComponente,Quantidade)\nComposição.CodPecaComposto referencia Peca\nComposição.CodPecaComponente referencia Peca</code>', 'd) <code>Peca (<u>CodPeca</u>, NomePeca, PesoPeca, CodPecaComposto,\nCodPecaComponente,Quantidade)\nPeca.CodPecaComposto referencia Peca\nPeca.CodPecaComponente referencia Peca</code>', 'e) <code>Composto (<u>CodPeca</u>, NomePeca, PesoPeca)\nComponente (<u>CodPeca</u>, NomePeca, PesoPeca, CodPecaComposto\nQuantidade)\nComponente.CodPecaComposto referencia Composto</code>']",Tecnologia de Computação,Banco de Dados,Modelagem e Projeto de Banco de Dados,A,tecnologia de computacao - banco de dados - modelagem e projeto de banco de dados,True,False,False,True,False,False
2004-44,2004,44,"Considere as seguintes tabelas em uma base de dados relacional, contendo informações sobre empregados, departamentos e a vinculação entre eles:
```
Departamento (CodDepto, NomeDepto)
Empregado (CodEmp, NomeEmp, CodDepto, SalarioEmp)
```
Considere a seguinte consulta sobre esta base de dados:
```
SELECT D.CodDepto, AVG(SalarioEmp)
FROM Departamento D,
     Empregado E
WHERE E.CodDepto=D.CodDepto AND
      E.SalarioEmp > 300
GROUP BY D.CodDepto
HAVING COUNT(*) > 20
```
Esta consulta SQL tem o seguinte resultado:","['a) Para departamentos com mais que 20 empregados que tenham salário maior que\n300, obter o código do departamento e a média salarial dos empregados do departamento.', 'b) Para departamentos que tem mais que 20 empregados nos quais todos empregados tem salário maior que 300, obter o código do departamento e a média salarial dos empregados que ganham mais que 300.', 'c) Para departamentos que tem mais que 20 empregados nos quais todos empregados tem salário maior que 300, obter o código do departamento e a média salarial dos empregados do departamento.', 'd) Para departamentos que tem mais que 20 empregados, obter o código do departamento e a média salarial dos empregados que ganham mais que 300.', 'e) Para departamentos com mais que 20 empregados que tenham salário maior que\n300, obter o código do departamento e a média salarial dos empregados do departamento que ganham mais que 300.']",Tecnologia de Computação,Banco de Dados,Linguagens de Consulta,E,tecnologia de computacao - banco de dados - linguagens de consulta,True,True,False,False,True,False
2004-53,2004,53,"Considere um algoritmo genético que opera sobre três indivíduos A, B, C, descritos respectivamente pelos vetores binários A = [11011000], B = [00010000], C = [11001101], gerando dois novos indivíduos D = [11011001] e E = [11011000]. \
Os novos indivíduos foram gerados através de:","['a) *Crossover* pelo ponto central dos indivíduos A e C;', 'b) *Crossover* pelo ponto central dos indivíduos A e B;', 'c) *Crossover* pelo ponto central dos indivíduos A e B seguido de mutação de um bit em cada novo indivíduo (D e E);', 'd) *Crossover* pelo ponto central dos indivíduos A e C seguido de mutação de um bit em cada novo indivíduo (D e E);', 'e) *Crossover* pelo ponto central dos indivíduos B e C seguido de mutação de um bit em cada novo indivíduo (D e E).']",Tecnologia de Computação,Inteligência Artificial,"Árvores de Decisão, Redes Neurais e Algoritmos Genéticos",D,"tecnologia de computacao - inteligencia artificial - arvores de decisao, redes neurais e algoritmos geneticos",True,False,True,True,False,False
2004-63,2004,63,"O esquema de tradução dirigida por sintaxe que segue traduz uma linguagem com terminais a, b, c e d em uma linguagem cujos terminais são 1, 2, 3, 4, 5, 6. Usando um parser bottom-up que executa as ações entre parênteses imediatamente após reduzir a regra correspondente, qual o resultado da tradução de “aaadbc”
$$
\begin{align*}
& S \rightarrow AS & \text{\{print ""1""\}} \\
& S \rightarrow B & \text{\{print ""2""\}} \\
& A \rightarrow a & \text{\{print ""3""\}} \\
& B \rightarrow bC & \text{\{print ""4""\}} \\
& B \rightarrow dB & \text{\{print ""5""\}} \\
& C \rightarrow c & \text{\{print ""6""\}}
\end{align*}
$$","['a) 1313132546', 'b) 1113332546', 'c) 3336452111', 'd) 6452111333', 'e) 2546131313']",Tecnologia de Computação,Compiladores,Esquemas de Tradução,C,tecnologia de computacao - compiladores - esquemas de traducao,True,True,False,False,True,False
2004-65,2004,65,"Considere dois sistemas computacionais formados por múltiplos computadores que manipulam dados comuns. No primeiro, existe um computador central, chamado servidor, que é o único responsável pelos serviços de leitura e escrita desses dados. No segundo, existe um grupo de computadores responsáveis pelos serviços de leitura e escrita, e cada um desses servidores deve manter uma réplica idêntica dos dados. \
Entre as vantagens e desvantagens de um único servidor em relação a vários servidores, podemos afirmar que o servidor único apresenta: 

i. Vantagem de maior velocidade de execução das operações de escrita e leitura e desvantagem de maior custo de armazenamento \
ii. Vantagem de não necessitar de coordenação distribuída para ordenação das operações de escrita e desvantagem de menor velocidade nas leituras devido a serialização de operações \
iii. Vantagem de manter mais facilmente a consistência dos dados mas desvantagem de perda de disponibilidade em caso de falha do servidor. 

Dessas afirmativas são verdadeiras:","['a) (ii) e (iii)', 'b) apenas (ii)', 'c) apenas (i)', 'd) (i), (iii)', 'e) (i), (ii) e (iii)']",Tecnologia de Computação,Sistemas Distribuídos,"Compartilhamento de Informação: Controle de Concorrência, Transações Distribuídas",A,"tecnologia de computacao - sistemas distribuidos - compartilhamento de informacao: controle de concorrencia, transacoes distribuidas",True,False,True,True,False,False
2005-21,2005,21,"Considere uma cpu usando uma estrutura pipeline com 5 estágios (IF, ID, EX, MEM, WB) e com memórias de dados e de instruções separadas, sem mecanismo de *data forwarding*, escrita no banco de registradores na borda de subida do *clock* e leitura na borda de descida do *clock* e o conjunto de instruções a seguir:
```
I1: lw  $2, 100($5)
I2: add $1, $2, $3
I3: sub $3, $2, $1
I4: sw  $2, 50($1)
I5: add $2, $3, $3
I6: sub $2, $2, $4
```
Quantos ciclos de *clock* são gastos para a execução deste código?","['a) 30', 'b) 17', 'c) 16', 'd) 11', 'e) 10']",Fundamentos da Computação,Arquitetura e Organização de Computadores,Pipeline,B,fundamentos da computacao - arquitetura e organizacao de computadores - pipeline,True,True,False,False,True,False
2005-25,2005,25,"Uma lista ligada possui a seguinte definição de nó:
```
type ap = ↑no;
     no = record
             info : integer;
             link : ap
          end;
```
Como o procedimento a seguir deve ser complementado para inverter uma lista ligada?
```
procedure inverte(var h: ↑no);
    var p,q : ↑no;
    begin
        if h <> NIL
            then begin
                p := h↑.link;
                h↑.link := NIL;
                while p <> NIL do
                    begin
                    ________;
                    ________;
                    ________;
                    ________;
                    end
                end
    end;
```","['a) `p↑.link:=h; q:=p↑.link; h:=p; p:=q;`', 'b) `q:=p↑.link; h:=p; p:=q; p↑.link:=h;`', 'c) `p↑.link:=h; h:=p; p:=q; q:=p↑.link;`', 'd) `q:=p↑.link; p↑.link:=h; h:=p; p:=q;`', 'e) `p↑.link:=h; h:=p; q:=p↑.link; p:=q;`']",Fundamentos da Computação,Algoritmos e Estrutura de Dados,"Estruturas de Dados Lineares e suas Generalizações: Listas Ordenadas, Listas Encadeadas, Pilhas e Filas",D,"fundamentos da computacao - algoritmos e estrutura de dados - estruturas de dados lineares e suas generalizacoes: listas ordenadas, listas encadeadas, pilhas e filas",True,True,False,False,True,False
2005-31,2005,31,"Considere o programa:
```
program P (input, output);
var m,n : integer;
function FUN ( n : integer): integer;
var x : integer;
begin
    if n < 1 then FUN := 1
    else begin
        x := n * FUN (n-1);
        m := m-1;
        FUN := m+x;
        end;
end;
begin
    readln (m,n);
    writeln (m, n, FUN ( n ) );
end.
```
Este programa, para os valores $m = 5$ e $n = 4$, tem como resultado:","['a) 5, 4, 5', 'b) 5, 4, 120', 'c) 1, 4, 14400', 'd) 5, 4, 165', 'e) 1, 4, 120']",Fundamentos da Computação,Linguagens de Programação,Paradigmas de Linguagens de Programação,D,fundamentos da computacao - linguagens de programacao - paradigmas de linguagens de programacao,True,True,False,False,True,False
