id,edicao,numero,enunciado,alternativas,area_conhecimento,area,subarea,gabarito,atributo_rag,ehQuestaoProblema
2002-11,2002,11,Uma prova de vestibular foi elaborada com 25 questões de múltipla escolha com 5 alternativas. O número de candidatos presentes à prova foi 63127. Considere a afirmação: Pelo menos 2 candidatos responderam de modo idêntico as $k$ primeiras questões da prova. Qual é o maior valor de $k$ para o qual podemos garantir que a afirmação é verdadeira.,"['a) 10', 'b) 9', 'c) 8', 'd) 7', 'e) 6']",Matemática,Análise Combinatória,Distribuição,E,matematica - analise combinatoria - distribuicao,False
2002-12,2002,12,"Dado um vetor $u \in \mathbb{R}^2$, $u = (-3, 4)$, vamos denotar por $v$ o vetor de $\mathbb{R}^2$ que tem tamanho 1 e é ortogonal à $u$. Então $v$ pode ser dado por","['a) $(-4/5, 3/5)$', 'b) $(3/5, 4/5)$', 'c) $(-4/5, -3/5)$', 'd) $(-4/5, 1/5)$', 'e) $(-4/5, 2/5)$']",Matemática,Álgebra Linear,Espaços com Produto Interno,C,matematica - algebra linear - espacos com produto interno,False
2002-14,2002,14,"A velocidade de um ponto em movimento é dada pela equação
$$
v(t) = te^{-0.01t}m/s
$$
O espaço percorrido desde o instante que o ponto começou a se mover até a sua parada total é","['a) $10^4m$', 'b) $10^3e^{-0.01} m$', 'c) $10^2e^{-1} m$', 'd) $(e^{-100} - 1)m$', 'e) $10^2m$']",Matemática,Cálculo Diferencial e Integral,Integração de Funções Reais de uma Variável,A,matematica - calculo diferencial e integral - integracao de funcoes reais de uma variavel,False
2002-15,2002,15,Se $\lim_{n\to\infty}(\frac{1}{n^2} + \frac{2}{n^2} + \dots + \frac{n-1}{n^2}) = L$ então,"['a) $L = 1$', 'b) $L = 0$', 'c) $L = 1/2$', 'd) $L = \\infty$', 'e) $L = 2$']",Matemática,Lógica Matemática,Lógica Proposicional e de Predicados,C,matematica - logica matematica - logica proposicional e de predicados,False
2002-16,2002,16,O número de *strings binárias* de comprimento 7 e contendo um par de zeros consecutivos é,"['a) 91', 'b) 92', 'c) 94', 'd) 95', 'e) 90']",Matemática,Análise Combinatória,Enumeração por Recursão,C,matematica - analise combinatoria - enumeracao por recursao,False
2002-17,2002,17,"A média aritmética de uma lista de 50 números é 50. Se dois desses números, 51 e 97, forem suprimidos dessa lista a média dos restantes será","['a) 50', 'b) 49', 'c) 51', 'd) 47', 'e) 40']",Matemática,Probabilidade e Estatística,Descrição Estatística dos Dados,B,matematica - probabilidade e estatistica - descricao estatistica dos dados,False
2002-18,2002,18,"O determinante da matriz dada abaixo é
$$
\begin{pmatrix}
2 & 7 & 9 & -1 & 1 \\
2 & 8 & 3 & 1 & 0 \\
-1 & 0 & 4 & 3 & 0 \\
2 & 0 & 0 & -1 & 0 \\
3 & 0 & 0 & 0 & 0
\end{pmatrix}
$$","['a) 96', 'b) -96', 'c) 86', 'd) -86', 'e) 46']",Matemática,Álgebra Linear,Transformações Lineares e Matrizes,A,matematica - algebra linear - transformacoes lineares e matrizes,False
2002-19,2002,19,Numa prova de múltipla escolha com 10 questões e 4 alternativas qual a chance (probabilidade) de um aluno apenas “chutando as respostas” conseguir “gabaritar” a provar (acertar todas as questões).,"['a) $1/10^4$', 'b) $1/4^{20}$', 'c) $1/2^{20}$', 'd) $1/10^8$', 'e) $1/4^{15}$']",Matemática,Probabilidade e Estatística,Probabilidades em Espaços Amostrais Discretos,C,matematica - probabilidade e estatistica - probabilidades em espacos amostrais discretos,False
2002-20,2002,20,"Três atletas A, B e C competiram, ao pares, numa corrida de $d$ metros. Considerando que cada atleta teve o mesmo desempenho (ou seja, a mesma velocidade) ao competir com adversários distintos, e sabendo-se que
- A venceu B chegando 20 metros à frente
- B venceu C chegando 10 metros à frente
- A venceu C chegando 28 metros à frente, \
podemos afirmar que a corrida tem","['a) 50 metros', 'b) 200 metros', 'c) 100 metros', 'd) 150 metros', 'e) 110 metros']",Matemática,Análise Combinatória,Permutações,C,matematica - analise combinatoria - permutacoes,False
2002-21,2002,21,Uma característica de uma arquitetura RISC é:,"['a) Uma arquitetura de alto risco pois o mercado de hardware evolui muito rapidamente', 'b) Possui um grande conjunto de instruções complexas', 'c) A arquitetura é constituída de milhares de processadores', 'd) Possui um pequeno conjunto de instruções simples', 'e) O processador é formado por válvulas e transistores']",Fundamentos da Computação,Arquitetura e Organização de Computadores,Arquiteturas RISC e CISC,D,fundamentos da computacao - arquitetura e organizacao de computadores - arquiteturas risc e cisc,False
2002-22,2002,22,Na Álgebra Booleana,"['a) Os dígitos são octais, de 0 a 7', 'b) Os dígitos são binários 0 e 1', 'c) Há dez valores motivados pelos dez dedos do ser humano', 'd) Os dígitos são alfanuméricos que podem ser representados por um byte', 'e) Os dígitos são hexadecimais de 0 a 15']",Fundamentos da Computação,Circuitos Digitais,Sistemas de Numeração e Códigos,B,fundamentos da computacao - circuitos digitais - sistemas de numeracao e codigos,False
2002-24,2002,24,"Considere o projeto de um circuito digital que implementa uma função $f$ com três variáveis de entrada e satisfazendo as seguintes propriedades:
$$
f(x,y,z)= \begin{cases}
1 & \text{se $x \neq y$} \\
0 & \text{caso contrário}
\end{cases}
$$
Qual das seguintes expressões representa corretamente a função $f$?","['a) $x + \\overline{y}z$', 'b) $\\overline{xyz} + x\\overline{y}z$', 'c) $\\overline{x}y + x\\overline{y}$', 'd) $xy + \\overline{y}z + \\overline{z}$', 'e) $\\overline{x}z + xy + \\overline{yz}$']",Fundamentos da Computação,Circuitos Digitais,Projeto de Circuitos Combinatórios,C,fundamentos da computacao - circuitos digitais - projeto de circuitos combinatorios,False
2002-26,2002,26,Sobre a hierarquia de Chomsky podemos afirmar que:,"['a) Uma linguagem que é recursivamente enumerável não pode ser uma linguagem regular', 'b) As linguagens livres de contexto e as linguagens sensíveis a contexto se excluem', 'c) Uma linguagem que não é regular é livre de contexto', 'd) As linguagens reconhecidas por autômatos a pilha são as linguagens regulares', 'e) Há linguagens que não são nem livres de contexto nem sensíveis a contexto']",Fundamentos da Computação,"Linguagens Formais, Autômatos e Computabilidade",Hierarquia de Chomsky,E,"fundamentos da computacao - linguagens formais, automatos e computabilidade - hierarquia de chomsky",False
2002-27,2002,27,"Suponha que $T$ seja uma árvore AVL inicialmente vazia, e considere a inserção dos elementos $10, 20, 30, 5, 15, 2$ em $T$, nesta ordem. Qual das sequências abaixo corresponde a um percurso de $T$ em pré-ordem:","['a) $10,5,2,20,15,30$', 'b) $20,10,5,2,15,30$', 'c) $2,5,10, 15, 20,30$', 'd) $30,20,15,10, 5,2$', 'e) $15,10,5,2,20,30$']",Fundamentos da Computação,Algoritmos e Estrutura de Dados,"Árvores e suas Generalizações: Árvores Binárias, Árvores de Busca e Árvores Balanceadas",A,"fundamentos da computacao - algoritmos e estrutura de dados - arvores e suas generalizacoes: arvores binarias, arvores de busca e arvores balanceadas",True
2002-28,2002,28,"Considere uma tabela de espalhamento (tabela de *hash*) com quatro posições numeradas 0, 1, 2 e 3. Se a sequência de quadrados perfeitos 1, 4, 9, ..., $i^2$, ... for armazenada nessa tabela segundo a função $f(x) = x \mod 4$, como se dará a distribuição dos elementos pelas posições da tabela, à medida que o número de entradas cresce?","['a) Cada posição da tabela receberá aproximadamente o mesmo número de elementos', 'b) Três posições da tabela receberão, cada uma, aproximadamente um terço dos elementos', 'c) Uma única posição da tabela receberá todos os elementos, e as demais posições permanecerão vazias', 'd) Todas as posições da tabela receberão elementos, mas as duas primeiras receberão, cada uma, o dobro das outras', 'e) As duas primeiras posições da tabela receberão, cada uma, aproximadamente a metade dos elementos, e as demais posições permanecerão vazias']",Fundamentos da Computação,Algoritmos e Estrutura de Dados,Tabelas Hash,E,fundamentos da computacao - algoritmos e estrutura de dados - tabelas hash,False
2002-29,2002,29,Qual das seguintes afirmações sobre crescimento assintótico de funções não é verdadeira:,"['a) $2n^2 + 3n + 1 = O(n^2)$', 'b) Se $f(n) = O(g(n))$ então $g(n) = O(F(n))$', 'c) $\\log n^2 = O(\\log n)$', 'd) Se $f(n) = O(g(n))$ e $g(n) = O(h(n))$ então $F(n) = O(h(n))$', 'e) $2^{n + 1} = O(2^n)$']",Fundamentos da Computação,Análise de Algoritmos,"Notação “Big O”, “Little o”, “Omega” e “Theta”",B,"fundamentos da computacao - analise de algoritmos - notacao “big o”, “little o”, “omega” e “theta”",False
2002-30,2002,30,"Considere um problema em que são dados 5 objetos com os seguintes pesos e valores:
$$
\begin{align*}
\text{pesos: } & (W_1, W_2, W_3, W_4, W_5) = (6, 10, 9, 5, 12) \\
\text{valores: } & (P_1, P_2, P_3, P_4, P_5) = (8, 5, 10, 15, 7)
\end{align*}
$$
Além disso, é dada uma mochila que suporta até 30 unidades de peso, para transportar os objetos. O objetivo do problema é preencher a mochila de tal forma que o valor total dos objetos a serem transportados seja o maior possível, mas sem exceder o limite de peso suportado pela mochila. Assuma que é permitido colocar fração de um objeto na mochila. Qual das seguintes alternativas corresponde ao valor máximo obtido no preenchimento da mochila:","['a) 12.2', 'b) 21.5', 'c) 30.34', 'd) 38.83', 'e) 43.1']",Fundamentos da Computação,Algoritmos e Estrutura de Dados,"Técnicas de Projeto de Algoritmos: Método da Força Bruta, Pesquisa Exaustiva, Algoritmo Guloso, Dividir e Conquistar, “Backtracking” e Heurísticas",D,"fundamentos da computacao - algoritmos e estrutura de dados - tecnicas de projeto de algoritmos: metodo da forca bruta, pesquisa exaustiva, algoritmo guloso, dividir e conquistar, “backtracking” e heuristicas",True
2002-31,2002,31,Considere o algoritmo da busca sequencial de um elemento em um conjunto com $n$ elementos. A expressão que representa o tempo médio de execução desse algoritmo para uma busca bem sucedida é:,"['a) $n^2$', 'b) $n(n + 1)/2$', 'c) $\\log_2 n$', 'd) $(n + 1)/2$', 'e) $n \\log n$']",Fundamentos da Computação,Análise de Algoritmos,Análise de Algoritmos Iterativos e Recursivos,D,fundamentos da computacao - analise de algoritmos - analise de algoritmos iterativos e recursivos,False
2002-32,2002,32,Quais dos algoritmos de ordenação abaixo possuem tempo no pior caso e tempo médio de execução proporcional a $O(n \log n)$.,"['a) Bubble sort e Quick sort', 'b) Quicksort e merge sort', 'c) Merge sort e bubble sort', 'd) Heap sort e selection sort', 'e) Merge sort e heap sort']",Fundamentos da Computação,Análise de Algoritmos,"Medidas de Complexidade, Análise Assintótica de Limites de Complexidade, Técnicas de Prova de Cotas Inferiores",E,"fundamentos da computacao - analise de algoritmos - medidas de complexidade, analise assintotica de limites de complexidade, tecnicas de prova de cotas inferiores",False
2002-33,2002,33,"Professor Mac Sperto propôs o seguinte algoritmo de ordenação, chamado de Super Merge, similar ao merge sort: divida o vetor em 4 partes do mesmo tamanho (ao invés de 2, como é feito no merge sort). Ordene recursivamente cada uma das partes e depois intercale-as por um procedimento semelhante ao procedimento de intercalação do merge sort. Qual das alternativas abaixo é verdadeira?","['a) Super Merge não está correto. Não é possível ordenar quebrando o vetor em 4 partes', 'b) Super Merge está correto, mas consome tempo O(*merge sort*)', 'c) Super Merge está correto, mas consome tempo maior que O(*merge sort*)', 'd) Super Merge está correto, mas consome tempo menor que O(*merge sort*)', 'e) Nenhuma das afirmações acima está correta']",Fundamentos da Computação,Algoritmos e Estrutura de Dados,Algoritmos para Pesquisa e Ordenação,B,fundamentos da computacao - algoritmos e estrutura de dados - algoritmos para pesquisa e ordenacao,True
2002-34,2002,34,"No que diz respeito as vantagens da arquitetura de micro-núcleo para sistemas operacionais em relação a arquiteturas de núcleo monolítico, quais das seguintes afirmações são verdadeiras? \
I - A arquitetura de micro-núcleo facilita a depuração do SO. \
II - A arquitetura de micro-núcleo permite um número menor de mudanças de contexto. \
III - A arquitetura de micro-núcleo facilita a reconfiguração de serviços do SO pois a maioria deles reside em espaço de usuário.","['a) Apenas I', 'b) Il e III', 'c) I e III', 'd) I e II', 'e) Todas são verdadeiras']",Fundamentos da Computação,Sistemas Operacionais,Gerência de Processos/Processador,C,fundamentos da computacao - sistemas operacionais - gerencia de processos/processador,False
2002-35,2002,35,Considere um sistema distribuído onde cada nó precisa obter um bloqueio (*lock*) antes de acessar qualquer serviço no sistema. Qual das estratégias a seguir não seria eficaz para evitar impasses (*deadlocks*)?,"['a) Associar prioridades aos nós e criar filas de prioridades para cada serviço', 'b) Numerar os serviços e exigir que cada nó solicite os bloqueios dos serviços em ordem crescente', 'c) Instalar um serviço de detecção de impasses no sistema distribuído e reiniciar os nós que atinjam um impasse', 'd) Fazer com que cada nó reinicie sua execução se um pedido de bloqueio não é concedido após um longo tempo de espera O pedido de bloqueio é re-enviado após um tempo aleatório', 'e) Forçar cada nó a obter todos os bloqueios de que necessita no início de sua execução e reiniciar a execução se algum bloqueio não é concedido']",Fundamentos da Computação,Sistemas Operacionais,"Comunicação, Concorrência e Sincronização de Processos",A,"fundamentos da computacao - sistemas operacionais - comunicacao, concorrencia e sincronizacao de processos",True
2002-36,2002,36,"Uma árvore binária é declarada em C como
```
typedef struct no *apontador;
struct no {
         int valor;
         apontador esq, dir;
          };
```
onde `esq` e `dir` representam ligações para os filhos esquerdo e direito de um nó da árvore, respectivamente. Qual das seguintes alternativas é uma implementação correta da operação que inverte as posições dos filhos esquerdo e direito de um nó `p` da árvore, onde `t` é um apontador auxiliar.","['a)\n```\nt = p;\np->esq = p->dir;\np->dir = p->esq\n```', 'b) \n```\np->dir = t;\np->esq = p->dir;\np->dir = t\n```', 'c) \n```\np->esq = p->dir;\nt = p->esq;\np->dir = t\n```', 'd)\n```\nt = p->dir;\np->esq = p->dir;\np->dir = t\n```', 'e) \n```\nt = p->dir;\np->dir = p->esq;\np->esq = t\n```']",Fundamentos da Computação,Algoritmos e Estrutura de Dados,"Árvores e suas Generalizações: Árvores Binárias, Árvores de Busca e Árvores Balanceadas",E,"fundamentos da computacao - algoritmos e estrutura de dados - arvores e suas generalizacoes: arvores binarias, arvores de busca e arvores balanceadas",True
2002-37,2002,37,"No programa abaixo, escrito em Pascal, os parâmetros do procedimento `vr` são passados por valor.
```
program teste;
var x,y: integer;

  procedure vr(u,v: integer);
  begin
    u:=2*u;
    x:=u+v;
    u:=u-l;
  end;

begin
  x:=4;
  y:=2;
  vr(x,y);
  writeln(x);
end.
```
O valor de `x` impresso na última linha do programa é:","['a) 4', 'b) 5', 'c) 7', 'd) 8', 'e) 10']",Fundamentos da Computação,Linguagens de Programação,Paradigmas de Linguagens de Programação,E,fundamentos da computacao - linguagens de programacao - paradigmas de linguagens de programacao,True
2002-38,2002,38,"A função abaixo computa a soma dos $n$ primeiros números inteiros não negativos:
```
function sum(n: integer) : integer;
begin
  if n=0 then sum:=0
  else --------------
end;
```
A parte que falta para completar a condição else é:","['a) `while n<>0 sum:=sum + sum(n+1)`', 'b) `sum:=n + sum(n)`', 'c) `sum:=(n-1) + sum(n-1)`', 'd) `sum:=n + sum(n-1)`', 'e) `sum:=(n-1) + sum(n)`']",Fundamentos da Computação,Algoritmos e Estrutura de Dados,Recursividade: Conceito e Implementação,D,fundamentos da computacao - algoritmos e estrutura de dados - recursividade: conceito e implementacao,True
2002-39,2002,39,O menor número possível de arestas em um grafo conexo com $n$ vértices é:,"['a) $1$', 'b) $n/2$', 'c) $n-1$', 'd) $n$', 'e) $n^2$']",Fundamentos da Computação,Teoria dos Grafos,Grafos orientados e não-orientados,C,fundamentos da computacao - teoria dos grafos - grafos orientados e nao-orientados,False
2002-40,2002,40,"Considere um grafo $G$ satisfazendo as seguintes propriedades:
- $G$ é conexo
- Se removermos qualquer aresta de $G$, o grafo obtido é desconexo.

Então é correto afirmar que o grafo $G$ é:","['a) Um circuito', 'b) Não bipartido', 'c) Uma árvore', 'd) Hamiltoniano', 'e) Euleriano']",Fundamentos da Computação,Teoria dos Grafos,Conectividade,C,fundamentos da computacao - teoria dos grafos - conectividade,True
2002-41,2002,41,"Supondo a Relação `PROJ (PNO, Nome, Orçam)`, com chave primária `PNO` e a Relação `DSG (ENO, PNO, Dur, Resp)`, com chave primária `{ENO, PNO}` e chave estrangeira `PNO` em relação a `PROJ`, a asserção abaixo NÃO expressa: 
$$
\forall g \in \text{DSG}, \exists j \in \text{PROJ} : \text{g.PNO} = \text{j.PNO}
$$","['a) Uma restrição que define um estado consistente do banco de dados.', 'b) Uma restrição a ser verificada na inserção de tuplas em `DSG`.', 'c) Uma restrição de integridade de chave primária em `PROJ`.', 'd) Uma restrição de integridade de chave estrangeira em `DSG`.', 'e) Uma restrição a ser verificada na atualização de tuplas em `DSG`.']",Tecnologia de Computação,Banco de Dados,"Sistemas de Gerenciamento de Bancos de Dados (SGBD): Arquitetura, Segurança, Integridade, Concorrência, Recuperação após Falha, Gerenciamento de Transações",C,"tecnologia de computacao - banco de dados - sistemas de gerenciamento de bancos de dados (sgbd): arquitetura, seguranca, integridade, concorrencia, recuperacao apos falha, gerenciamento de transacoes",False
2002-42,2002,42,"Dentre as definições a seguir, ligadas ao conceito de normalização do modelo relacional, qual delas é INCORRETA?","['a) As formas normais se baseiam em certas estruturas de dependências.', 'b) A primeira forma normal estabelece que os atributos da relação contêm apenas valores atômicos.', 'c) A normalização é um processo passo a passo reversível de substituição de uma dada coleção de relações por sucessivas coleções de relações as quais possuem uma estrutura progressivamente mais simples e mais regular.', 'd) As relações que obedecem à primeira forma normal não apresentam anomalias.', 'e) O objetivo da normalização é eliminar várias anomalias (ou aspectos indesejáveis) de uma relação.']",Tecnologia de Computação,Banco de Dados,Modelagem e Projeto de Banco de Dados,D,tecnologia de computacao - banco de dados - modelagem e projeto de banco de dados,False
2002-43,2002,43,"Dentre as definições a seguir, ligadas ao conceito de visões do modelo relacional, qual delas é INCORRETA?","['a) Programas aplicativos do banco de dados podem ser executados sobre visões de relações da base de dados.', 'b) Uma visão relacional é uma relação virtual que nunca é materializada.', 'c) Uma visão relacional é uma relação virtual, derivada de relações base a partir da especificação de operações da álgebra relacional.', 'd) Uma visão é útil por representar uma percepção particular do banco de dados, compartilhado por muitos aplicativos.', 'e) O gerenciamento de visões envolve a conversão da consulta do usuário sobre as visões para a consulta sobre as relações base.']",Tecnologia de Computação,Banco de Dados,Linguagens de Consulta,B,tecnologia de computacao - banco de dados - linguagens de consulta,False
2002-44,2002,44,"Supondo a Relação `\text{PROJ} (PNO, Orçam)`, com chave primária `PNO`, a Relação `EMP (ENO, ENome, Cargo)` com chave primária `ENO`, e a Relação `DSG (ENO, PNO, Dur, Resp)`, com chave primária `{ENO, PNO}`, chave estrangeira `PNO` em relação a `PROJ` e chave estrangeira `ENO` em relação a `EMP`. Qual das expressões da álgebra relacional abaixo NÃO corresponde à seguinte consulta SQL:
```
SELECT ENome
FROM EMP, PROJ, DSG
WHERE EMP.ENO = DSG.ENO
       AND PROJ.PNO = DSG.PNO
       AND Dur > 36
```","['a) $\\pi_{\\text{ENome}} (\\text{PROJ} \\bowtie_{\\text{PNO}} ( \\text{EMP} \\bowtie_{ENO} \\sigma_{\\text{Dur} > 36} (\\text{DSG})))$', 'b) $\\pi_{\\text{ENome}} (\\text{PROJ} \\bowtie_{\\text{PNO}} ((\\pi_{\\text{ENome}}, ENO (\\text{EMP})) \\bowtie_{ENO} ( \\sigma_{\\text{Dur} > 36} (\\text{DSG}))))$', 'c) $\\pi_{\\text{ENome}} (\\text{PROJ} \\bowtie_{\\text{PNO}} (\\sigma_{\\text{Dur} > 36} (\\text{EMP} \\bowtie_{ENO} (\\text{DSG}) )))$', 'd) $\\pi_{\\text{ENome}} (\\sigma_{\\text{Dur} > 36} ((\\pi_{\\text{PNO}} (\\text{PROJ})) \\bowtie_{\\text{PNO}} ( \\text{EMP} \\bowtie_{ENO} \\text{DSG})))$', 'e) $\\pi_{\\text{ENome}} (\\text{PROJ} \\bowtie_{\\text{PNO}} ( \\text{EMP} \\bowtie_{ENO} \\sigma_{\\text{Dur} > 36} (\\pi \\text{Dur} (\\text{DSG}))))$']",Tecnologia de Computação,Banco de Dados,Linguagens de Consulta,E,tecnologia de computacao - banco de dados - linguagens de consulta,True
2002-45,2002,45,"Dentre as características do modelo relacional e do modelo de objetos em bancos de dados,
qual afirmação é INCORRETA?","['a) O relacionamento de herança é diretamente representado no modelo relacional.', 'b) O relacionamento binário N x M é representado de modo semelhante nos dois modelos.', 'c) O modelo de objetos possui mais recursos estruturais para a representação de dados que o relacional.', 'd) O modelo de objetos provê uma representação bem próxima de linguagens de programação.', 'e) O modelo de objetos é mais adequado para a representação de tipos abstratos de dados.']",Tecnologia de Computação,Banco de Dados,Modelagem e Projeto de Banco de Dados,A,tecnologia de computacao - banco de dados - modelagem e projeto de banco de dados,False
2002-46,2002,46,"Considere $C(x)$ uma função que define a complexidade de um problema $x$; $E(x)$ uma função que define o esforço (em termos de tempo) exigido para se resolver o problema $x$.
Sejam dois problemas denominados $p1$ e $p2$. Assinale a alternativa correta.","['a) Se $C(p1) < C(p2)$ então $E(p1) < E(p2)$', 'b) Se $C(p1) < C(p2)$ então $E(p1) > E(p2)$', 'c) $E(p1+p2) < E(p1) + E(p2)$', 'd) $C(p1+p2) < C(p1) + C(p2)$', 'e) Nenhuma das alternativas anteriores']",Tecnologia de Computação,Engenharia de Software,Técnicas de Planejamento e Gerenciamento de Software,A,tecnologia de computacao - engenharia de software - tecnicas de planejamento e gerenciamento de software,False
2002-47,2002,47,"Sobre a UML, quais das seguintes afirmações são verdadeiras? \
I) A UML é o método de desenvolvimento de software mais utilizado na atualidade. \
II) A UML é uma evolução das linguagens para especificação dos conceitos dos métodos de
Booch, OMT e OOSE e também de outros métodos de especificação de requisitos de software orientados a objetos ou não. \
III) A UML é composta dos seguintes diagramas: Diagrama de Caso de Uso, Diagrama de
Classes, Diagrama de Colaboração, Diagrama de Estados, entre outros. \
IV) Em UML pode-se representar tão somente relacionamentos de Agregação, Associação e
Composição.","['a) Todas as alternativas.', 'b) Apenas as alternativas I, II e III.', 'c) Apenas as alternativas III e IV.', 'd) Apenas as alternativas II e III.', 'e) Nenhuma delas.']",Tecnologia de Computação,Engenharia de Software,Métodos de Análise e de Projeto de Software,D,tecnologia de computacao - engenharia de software - metodos de analise e de projeto de software,False
