id,enunciado,comp_decomposicao,comp_reconhecimento_padroes,comp_abstracao,comp_algoritmos,comp_generalizacao
2013-51,"Uma empresa de auditoria foi contratada para analisar o banco de dados do SUS (Sistema Único de Saúde). A primeira tarefa é encontrar os pares de médicos cadastrados que possuem o mesmo nome (homônimos) e números diferentes no CRM (Conselho Regional de Medicina) para verificar possíveis fraudes. Considere que a tabela que armazena os médicos possui o cadastro no CRM como chave primária e as seguintes colunas: nome, endereço, telefone, especialidade, datadeingresso. 

Assinale a alternativa que apresenta, corretamente, a consulta em SQL que busca os resultados ordenados pelo nome dos médicos.",TRUE,FALSE,TRUE,FALSE,FALSE
2024-43,"Analise a execução a seguir considerando que todos os arquivos de cabeçalho necessários estão inclusos no tempo de compilação e que o programa executa ininterruptamente do início até o seu término.
```
int lbm = 0;

void * func(void *i){ lbm = lbm + 1; }

int main (void){
   int i;
   pthread_t t[10];

   for(i=0;i<10;i++){
      pthread_create(&t[i], NULL, func, NULL);

   for(i=0;i<10;i++){
      pthread_join(t[i], NULL);

   printf(“%d”, lbm);
}
```

Assinale a alternativa que melhor representa o resultado da execução do programa acima.",FALSE,FALSE,FALSE,TRUE,FALSE
2008-61,"Uma empresa precisa instalar um servidor de modo a atender três outros computadores localizados nos pontos $A(0;1)$, $B(0;-1)$ e $C(3; 0)$. \
Em qual ponto $P$ o servidor deve ser instalado de modo a minimizar a soma das distâncias de $P$ a $A$, $B$ e $C$?",FALSE,FALSE,TRUE,FALSE,FALSE
2007-24,"Considere um arquivo texto que contenha uma mensagem de 10.000 caracteres utilizando os caracteres A, B e C, com probabilidades 0,1, 0,1 e 0,8 respectivamente. Ao utilizar o *algoritmo de Huffman* para compressão/codificação do referido texto, as seguintes afirmativas são apresentadas.

I. O comprimento médio dos códigos para os referidos caracteres é 1, 2. \
II. Se forem utilizados todos os pares possíveis de símbolos para a construção da
árvore de *Huffman*, então o comprimento médio dos códigos para os referidos pares é menor que 1, 2 por caractere. \
III. A codificação de *Huffman* a partir de todos os pares possíveis de caracteres sempre produz códigos de menor comprimento médio.

Os dados acima permitem afirmar que",FALSE,TRUE,FALSE,TRUE,TRUE
2012-28,"Nas linguagens de programação, uma questão importante é o escopo das declarações. Por exemplo, o escopo de uma declaração de `x` é a região do programa em que os usos de `x` se referem a essa declaração. Nesse sentido, a ligação de um nome a um escopo pode ser estática ou dinâmica. No programa C, a seguir, o identificador `x` é uma macro composta pela expressão `++y`. Por ser uma macro, a resolução de `x` não é realizada somente em termos do texto do programa.
```
#include<stdio.h>
#define x ++y int y = 2;
void M() { int y = 1; printf (""%d "", x); }
void N() { printf(""%d "", x); }
int main() {
  M();
  N();
  return 0;
}
```
Com base nessa execução, assinale a alternativa que apresenta, corretamente, a saída desse programa.",FALSE,FALSE,FALSE,TRUE,FALSE
2006-21,"Considere dois sistemas **A** e **B** compostos por um processador, cache e memória cuja única diferença é a cache de dados. As caches de dados possuem em comum palavras de 2 Bytes, capacidade (por exemplo, 2 KBytes), tamanho de bloco (por exemplo, 8 Bytes por linha) e são implementadas com a mesma tecnologia, porém com organizações diferentes como definidas abaixo:

**(Cache de A)** Cache com mapeamento direto, utilizando políticas *write-through* e *no-write allocate* (escritas não utilizam a cache)\
**(Cache de B)** Cache *4-way set-associative*, utilizando políticas *write-back*, *write-allocate* e LRU

Considere as seguintes afirmações para os sistemas A e B executando um mesmo programa típico:

**(I)** O sistema A deve possuir um *miss rate* maior do que B\
**(II)** O sistema B deve possuir um *hit rate* menor do que A \
**(III)** A cache de dados de A é mais rápida do que a de B\
**(IV)** A cache de dados de A é mais simples de ser implementada do que a de B\
**(V)** Em média, uma escrita de dados no sistema A é mais rápido do que em B \
**(VI)** As caches de dados de A e B possuem o mesmo número de linhas

Quais são as afirmações verdadeiras?",TRUE,FALSE,FALSE,FALSE,TRUE
2005-35,"Em uma estrutura de árvore binária de busca, foram inseridos os elementos “h”, “a”, “b”, “c”, “i”, “j”, nesta sequência. O tamanho do caminho entre um nó qualquer da árvore e a raiz é dada pelo número de arestas neste caminho. Qual o tamanho do maior caminho na árvore, após a inserção dos dados acima?",FALSE,FALSE,FALSE,TRUE,FALSE
2006-37,"Considere o programa:
```
program p;
   var n: integer;
   function f(n: integer; var k: integer): integer;
      var p,q:integer;
   begin (* f *)
      if n < 2
         then begin
               f :=n;
               k := 0
            end
         else begin
               f := f(n-1, p) + f(n-2, q);
               k := p + q + 1 
            end;
      write(n,' ',k,'; ')
   end (* f *); 
   begin
   n := 4; 
   write (f (3,n) ,n)
   end.
```
Quais os valores impressos pelo programa?",TRUE,FALSE,FALSE,TRUE,FALSE
2008-13,"Observe a seguinte gramática:
```
  DECL → IF | a
  IF → if ( EXP ) DECL ELSE
  ELSE → else DECL | \epsilon
  EXP → 1 | 0
```
Sendo `$` o símbolo que representa final de arquivo, é CORRETO afirmar que",FALSE,TRUE,FALSE,FALSE,TRUE
2006-29,"Considere a função Pot que calcula $x^n$ , para $x$ real e $n$ inteiro:
```
Function Pot(x: real; n: integer): real;
   begin
      if x = 0
      then
         Pot := 0
      else 
         if n = 0
         then
            Pot := 1
         else 
            if n < 0
            then
               Pot := 1/Pot(x,abs(n))
            else 
               if odd(n)
               then
                  Pot := x * sqr(Pot(x,(n-1) div 2))
               else
                  Pot := sqr(Pot(x,n div 2))
      end;
```
Seja $T(n)$ o tempo de execução da função Pot para as entradas $x$ e $n$. A ordem de $T(n)$ é",TRUE,TRUE,TRUE,TRUE,TRUE
2013-13,"Admita que um novo conectivo binário, rotulado pelo símbolo $\updownarrow$, seja definido pela tabela-verdade a seguir:

|$P$|$Q$|$P \updownarrow Q$|
|-|-|-|
|V|V|F|
|V|F|V|
|F|V|F|
|F|F|F|

Com base nessa definição e nas operações usuais com os conectivos $\lor$, $\land$ e $\sim$, considere as afirmativas a seguir:

I. $P \updownarrow Q$ é equivalente a $Q \updownarrow P$. \
II. $(P \updownarrow Q) \lor (Q \updownarrow P)$ não é uma contingência. \
III. $(Q \updownarrow P) \land (P \updownarrow Q)$ é uma contradição. \
IV. $ \sim [(Q \updownarrow P) \land (P \updownarrow Q)]$ é uma tautologia. 

Assinale a alternativa correta.",FALSE,FALSE,FALSE,FALSE,TRUE
2024-34,"Analise o código em Linguagem C (Compilador Ansi C) abaixo:
```
int f_rec(char s[]) {
   if (s[0] == '\0') {
      return 0;
   }
   return 1 + f_rec(s + 1);
}

int main() {
   char str[] = ""Ola mundo!"";
   int var = f_rec(str);
   double resultado = var / 2;
   printf(""%f\n"", resultado);
   return 0;
}
```
Considerando o código apresentado, assinale a alternativa correta.",TRUE,TRUE,FALSE,TRUE,FALSE
2019-17,"Uma pessoa deseja fazer uma compra na Internet e, para isso, precisa se cadastrar em um site. A senha de cadastro deve ser formada por exatamente 9 caracteres , e somente os caracteres $, @ e # podem ser usados. Quantas senhas diferentes, contendo pelo menos uma ocorrência de cada caractere, existem?",TRUE,FALSE,TRUE,FALSE,FALSE
2003-41," Considere as seguintes tabelas em uma base de dados relacional:
```
Departamento (CodDepto, NomeDepto)
Empregado (CodEmp, NomeEmp, CodDepto)
```
Deseja-se obter uma tabela na qual cada linha é a concatenação de uma linha da tabela Departamento com uma linha da tabela de Empregado. Caso um departamento não possua empregados, seu linha no resultado deve conter vazio (NULL) nos campos referentes ao empregado. A operação de álgebra relacional que deve ser aplicada para combinar estas duas tabelas é:",FALSE,TRUE,TRUE,FALSE,FALSE
2009-70,"Sejam as seguintes tabelas em um banco de dados relacional:\
**Tabela de Compradores**

| CID  | CNOME            | CIDADE         | DESCONTO |
|------|------------------|----------------|----------|
| C001 | Lojas Cacique     | Rio de Janeiro  | 10,00    |
| C002 | Lojas Livres      | São Paulo       | 12,00    |
| C003 | Mercado Fácil     | Curitiba        | 8,00     |
| C004 | Papelaria Simão   | Recife          | 6,00     |
| C005 | Lojas da Silva    | Manaus          | 0,00     |

**Tabela de Produtos**

| PID  | NOME      | CLIENTE | QUANT  | PREÇO |
|------|-----------|---------|--------|-------|
| p01  | Pente     | C001    | 11000  | 10    |
| p02  | Escova    | C002    | 20000  | 10    |
| p03  | Barbeador | C003    | 15000  | 20    |
| p04  | Caneta    | C003    | 20000  | 1     |
| p05  | Lápis     | C004    | 10000  | 1     |
| p06  | Caderno   | C004    | 14000  | 5     |
| p07  | Bloco     | C005    | 5000   | 1,5   |

Qual o resultado da seguinte consulta em SQL? 

```
SELECT CNOME, NOME, PRECO*(1-DESCONTO/100) AS PF
FROM COMPRADORES, PRODUTO
WHERE
 DESCONTO > (SELECT AVG(DESCONTO) FROM COMPRADORES)
 AND CID=CLIENTE
ORDER BY NOME, CNOME;
```",TRUE,FALSE,FALSE,TRUE,FALSE
2013-30,"Considere o trecho de código em linguagem de programação C a seguir.
```
main()
  {
    int myCount = 0;
    while (myCount < 10)
    {
      printf(""%d"",myCount+1);
    }
    system(""pause"");
}
```
Assinale a alternativa que apresenta, corretamente, o que esse trecho de código fará ao ser executado.",FALSE,FALSE,FALSE,TRUE,FALSE
2014-03,"Acerca da posição relativa das retas $r$ e $s$ no espaço $\mathbb{R}^3$, com vetores diretores $\vec{r} = (1, 2, 3)$ e $\vec{s} = (0, 2, 3)$ passando, respectivamente, pelos pontos $(0, 0, 3)$ e $(1, 2, 0)$, assinale a alternativa correta.",FALSE,FALSE,FALSE,FALSE,FALSE
2003-36,"Para que faixa de valores da variável $x$ o seguinte segmento de código imprime a letra `C`?
```
if (x <= 200)
    if (x < 100)
        if (x < 0) printf(""A"")
        else printf(""B"")
    else printf(""C"")
else printf(""D"")
```",FALSE,FALSE,FALSE,TRUE,FALSE
